0	3
4	1
5	1
6	3
8	1
9	4
12	5
13	3
17	1
18	27
20	9
23	11
22	27
30	1
34	5
35	4
33	1
38	1
36	1
37	1
43	10
40	1
47	1
49	1
48	1
55	1
54	7
52	2
59	5
57	6
56	1
63	8
62	2
60	29
68	3
69	4
64	1
65	1
66	1
67	1
76	1
78	1
75	2
85	2
86	1
81	1
80	4
82	4
92	3
95	2
94	6
89	1
91	22
102	3
103	2
100	4
101	6
99	1
97	6
111	1
108	1
109	4
107	27
104	1
105	2
119	1
118	2
116	4
113	2
127	78
126	14
122	1
137	249
139	1
140	1
143	1
128	2
131	5
134	3
152	2
154	8
155	8
156	12
157	7
158	4
159	5
145	8
146	10
147	1
148	1
150	2
151	2
171	2
170	10
173	9
172	2
163	1
162	29
161	3
167	1
166	2
165	2
164	4
186	1
190	3
191	2
188	11
177	11
182	2
180	1
181	1
204	1
207	8
201	3
203	1
202	4
196	10
198	1
192	1
195	2
222	28
223	24
216	10
219	11
209	1
235	30
234	2
233	1
232	22
231	16
230	11
227	1
226	12
255	22
248	4
247	13
244	1
245	4
243	1
240	2
241	2
279	1
278	11
277	1
276	1
283	3
282	2
280	9
287	1
284	4
259	1
256	1
260	82
267	1
264	1
265	34
270	4
268	28
269	11
304	2
310	16
313	10
316	16
318	3
290	1
292	34
293	2
294	22
296	2
299	2
300	1
343	4
342	3
341	5
339	35
337	9
336	9
351	9
350	3
349	1
347	21
346	1
324	2
323	2
335	7
333	3
328	1
329	1
373	1
372	3
375	3
374	1
369	2
368	1
371	6
381	3
380	5
383	20
382	1
357	1
358	6
359	1
352	1
353	2
354	2
355	1
362	1
363	3
410	2
411	10
414	1
402	6
403	3
400	1
406	6
405	3
395	9
394	2
393	23
397	76
396	1
387	1
442	1
443	1
446	6
447	9
432	2
433	3
434	2
437	4
424	6
427	3
426	3
429	25
417	5
416	1
419	1
418	4
420	6
423	8
422	1
479	3
476	3
477	1
474	2
475	1
473	1
470	6
464	27
465	9
460	1
459	2
456	3
452	4
450	1
448	3
508	1
509	1
511	2
504	4
505	4
501	8
503	1
496	5
498	1
499	4
488	82
491	18
490	4
485	2
487	10
486	4
481	1
480	7
483	1
482	26
550	1
551	3
549	4
546	8
547	8
544	1
558	2
556	7
557	4
554	8
555	1
552	1
553	3
567	78
566	3
565	7
564	8
561	1
575	1
574	1
573	2
569	2
568	1
517	8
518	2
519	10
512	1
513	2
514	1
515	1
524	4
525	5
520	5
535	3
534	1
531	11
541	6
540	1
543	3
542	1
537	1
536	1
539	1
538	2
611	1
608	6
618	1
620	1
626	1
624	31
631	2
629	2
635	2
633	2
632	6
638	12
576	2
577	3
578	2
579	1
580	4
581	2
583	1
584	5
586	9
588	1
589	1
591	1
593	29
592	6
597	1
596	32
599	8
598	2
600	1
602	89
605	2
607	10
606	5
687	1
684	8
683	1
678	2
677	1
675	7
674	5
672	20
702	3
701	3
699	1
697	4
688	2
653	1
652	13
655	2
648	6
650	1
644	2
647	1
641	1
640	11
643	8
642	2
670	28
671	70
664	3
665	3
666	39
667	3
657	2
746	27
745	11
744	2
751	5
750	3
749	8
748	32
739	29
738	2
736	1
743	2
742	9
741	1
763	1
761	18
766	6
764	1
765	1
754	1
753	1
758	2
759	1
756	1
757	1
712	1
715	3
714	3
717	1
716	1
718	3
706	1
709	3
710	3
729	6
730	13
731	1
732	5
734	8
735	7
726	25
727	26
823	104
816	2
829	1
805	1
806	1
800	6
803	10
812	2
813	1
815	1
809	1
810	2
811	3
791	10
790	7
784	2
798	4
796	1
795	2
793	2
775	26
772	2
773	7
770	5
771	2
768	1
769	16
780	1
781	2
778	5
779	3
776	25
881	2
880	3
883	2
882	14
885	12
884	2
887	2
886	2
889	1
888	4
891	1
892	1
894	90
864	2
866	2
867	4
868	4
869	5
871	3
872	1
874	1
875	2
876	4
877	1
878	1
855	7
854	2
852	30
858	10
857	6
863	2
862	27
861	1
860	1
834	2
835	1
833	1
836	2
837	3
843	1
840	1
841	2
846	1
844	7
956	1
958	9
952	26
953	3
948	1
949	1
950	2
951	6
944	8
945	3
946	9
947	1
940	11
942	1
936	2
939	2
938	7
932	1
935	3
934	1
930	1
927	1
925	1
922	2
919	3
916	7
914	1
915	1
913	1
911	2
909	10
908	6
906	5
904	3
903	13
902	2
901	9
900	13
899	40
1016	4
1017	4
1018	2
1019	1
1021	5
1008	12
1009	8
1012	3
1014	4
1015	3
1001	1
993	1
992	4
995	91
996	6
999	6
998	24
986	3
987	5
984	1
990	7
989	1
979	1
977	3
982	4
983	20
981	1
971	1
970	1
969	1
974	4
973	1
963	9
967	4
965	2
